Residence_Addresses_City,elec_date,elec_year,elec_type,total_voters_asian,total_voters_black,total_voters_hispanic,total_voters_others,total_voters_white,voted_voters_asian,voted_voters_black,voted_voters_hispanic,voted_voters_others,voted_voters_white,perc_turnout_asian,perc_turnout_black,perc_turnout_hispanic,perc_turnout_others,perc_turnout_white,FECDonors_TotalDonationsAmount,FECDonors_NumberOfDonations,mean_donation,total_voters_$1000-14999,total_voters_$100000-124999,total_voters_$125000-149999,total_voters_$15000-24999,total_voters_$150000-174999,total_voters_$175000-199999,total_voters_$200000-249999,total_voters_$25000-34999,total_voters_$250000+,total_voters_$35000-49999,total_voters_$50000-74999,total_voters_$75000-99999,voted_voters_$1000-14999,voted_voters_$100000-124999,voted_voters_$125000-149999,voted_voters_$15000-24999,voted_voters_$150000-174999,voted_voters_$175000-199999,voted_voters_$200000-249999,voted_voters_$25000-34999,voted_voters_$250000+,voted_voters_$35000-49999,voted_voters_$50000-74999,voted_voters_$75000-99999,perc_turnout_income_$1000-14999,perc_turnout_income_$100000-124999,perc_turnout_income_$125000-149999,perc_turnout_income_$15000-24999,perc_turnout_income_$150000-174999,perc_turnout_income_$175000-199999,perc_turnout_income_$200000-249999,perc_turnout_income_$25000-34999,perc_turnout_income_$250000+,perc_turnout_income_$35000-49999,perc_turnout_income_$50000-74999,perc_turnout_income_$75000-99999,CommercialData_EstimatedHHIncomeAmount,total_voters_college,total_voters_no_college,voted_voters_college,voted_voters_no_college,perc_turnout_college,perc_turnout_no_college,mean_age,voter_population,voted_voters,state
Silverthorne,2018_11_06,2018,General,72,39,330,77,4001,38,22,120,50,2626,52.77777778,56.41025641,36.36363636,64.93506494,65.6335916,721668,5522,130.6896052,28,471,245,63,147,209,179,109,173,167,362,945,25,298,163,48,107,139,122,77,120,127,259,497,89.28571429,63.26963907,66.53061224,76.19047619,72.78911565,66.50717703,68.15642458,70.64220183,69.36416185,76.04790419,71.54696133,52.59259259,115135.3054,1458,412,1116,295,76.54320988,71.60194175,51.83755645,3735,2856,CO
Silverthorne,2016_11_08,2016,General,72,39,330,77,4001,41,26,130,52,2680,56.94444444,66.66666667,39.39393939,67.53246753,66.98325419,691936,5244,131.9481312,28,471,245,63,147,209,179,109,173,167,362,945,22,310,173,51,109,139,123,76,120,132,256,544,78.57142857,65.81740977,70.6122449,80.95238095,74.14965986,66.50717703,68.7150838,69.72477064,69.36416185,79.04191617,70.71823204,57.56613757,115135.3054,1458,412,1147,327,78.66941015,79.36893204,49.79297196,3735,2929,CO
Silverthorne,2014_11_04,2014,General,72,39,330,77,4001,28,15,58,40,1943,38.88888889,38.46153846,17.57575758,51.94805195,48.56285929,648100,4759,136.1840723,28,471,245,63,147,209,179,109,173,167,362,945,19,221,111,44,79,107,90,52,88,113,202,335,67.85714286,46.92144374,45.30612245,69.84126984,53.7414966,51.19617225,50.27932961,47.70642202,50.86705202,67.66467066,55.80110497,35.44973545,115135.3054,1458,412,875,237,60.01371742,57.52427184,51.64710265,3735,2084,CO
Silverthorne,2021_11_02,2021,Consolidated_General,72,39,330,77,4001,34,8,68,42,2037,47.22222222,20.51282051,20.60606061,54.54545455,50.91227193,752706,3937,191.1877064,28,471,245,63,147,209,179,109,173,167,362,945,19,227,130,40,88,115,107,54,102,106,192,369,67.85714286,48.19532909,53.06122449,63.49206349,59.86394558,55.02392344,59.77653631,49.5412844,58.95953757,63.47305389,53.03867403,39.04761905,115135.3054,1458,412,882,228,60.49382716,55.33980583,56.94667052,3735,2189,CO
Silverthorne,2019_11_05,2019,Consolidated_General,72,39,330,77,4001,24,7,60,36,1791,33.33333333,17.94871795,18.18181818,46.75324675,44.76380905,880975,5086,173.2156901,28,471,245,63,147,209,179,109,173,167,362,945,16,190,110,38,69,111,76,51,89,101,174,320,57.14285714,40.33970276,44.89795918,60.31746032,46.93877551,53.11004785,42.45810056,46.78899083,51.44508671,60.47904192,48.06629834,33.86243386,115135.3054,1458,412,799,203,54.80109739,49.27184466,56.17380811,3735,1918,CO
Silverthorne,2017_11_07,2017,Consolidated_General,72,39,330,77,4001,11,2,30,25,1073,15.27777778,5.128205128,9.090909091,32.46753247,26.81829543,492653,4292,114.7840168,28,471,245,63,147,209,179,109,173,167,362,945,13,115,63,21,40,53,56,29,54,68,108,180,46.42857143,24.41613588,25.71428571,33.33333333,27.21088435,25.35885167,31.2849162,26.60550459,31.21387283,40.71856287,29.83425414,19.04761905,115135.3054,1458,412,488,124,33.47050754,30.09708738,57.53685877,3735,1141,CO
Silverthorne,2015_11_03,2015,Consolidated_General,72,39,330,77,4001,15,4,25,18,1170,20.83333333,10.25641026,7.575757576,23.37662338,29.24268933,603081,4778,126.2203851,28,471,245,63,147,209,179,109,173,167,362,945,14,133,74,27,42,68,54,29,52,78,114,190,50,28.23779193,30.20408163,42.85714286,28.57142857,32.53588517,30.16759777,26.60550459,30.05780347,46.70658683,31.49171271,20.10582011,115135.3054,1458,412,543,142,37.24279835,34.46601942,55.89580495,3735,1232,CO
Severna Park,2020_11_03,2020,General,581,711,619,461,17641,415,522,481,362,14057,71.42857143,73.41772152,77.70597738,78.52494577,79.6836914,1894315,21839,86.74000641,20,1750,3565,101,3757,2587,2599,231,2798,385,983,1071,16,1449,2730,78,2873,1996,2112,184,2253,325,819,888,80,82.8,76.57784011,77.22772277,76.47058824,77.1550058,81.26202386,79.65367965,80.52180129,84.41558442,83.31637843,82.91316527,167371.373,11113,2014,9728,1694,87.53711869,84.11122145,52.59835281,27533,15837,MD
Severna Park,2018_11_06,2018,General,581,711,619,461,17641,257,407,323,265,11069,44.23407917,57.24331927,52.180937,57.48373102,62.74587608,1828485,19397,94.2663814,20,1750,3565,101,3757,2587,2599,231,2798,385,983,1071,18,1176,2028,73,2194,1568,1586,169,1727,288,693,706,90,67.2,56.88639551,72.27722772,58.39765771,60.61074604,61.02347057,73.16017316,61.72265904,74.80519481,70.49847406,65.91970121,167371.373,11113,2014,8008,1355,72.05974984,67.27904667,52.91435736,27533,12321,MD
Severna Park,2016_11_08,2016,General,581,711,619,461,17641,288,446,355,297,11902,49.5697074,62.72855134,57.35056543,64.42516269,67.46783062,1823295,21712,83.97637251,20,1750,3565,101,3757,2587,2599,231,2798,385,983,1071,18,1252,2253,77,2357,1665,1694,176,1837,306,755,785,90,71.54285714,63.19775596,76.23762376,62.73622571,64.36026285,65.17891497,76.19047619,65.6540386,79.48051948,76.80569685,73.29598506,167371.373,11113,2014,8668,1458,77.99874021,72.39324727,50.51587356,27533,13288,MD
Severna Park,2014_11_04,2014,General,581,711,619,461,17641,139,297,205,195,8480,23.9242685,41.7721519,33.11793215,42.29934924,48.06983731,1642240,19935,82.37973414,20,1750,3565,101,3757,2587,2599,231,2798,385,983,1071,11,923,1527,54,1583,1152,1138,153,1218,263,608,592,55,52.74285714,42.83309958,53.46534653,42.13468193,44.53034403,43.78607157,66.23376623,43.53109364,68.31168831,61.85147508,55.27544351,167371.373,11113,2014,6390,1047,57.50022496,51.98609732,52.83854365,27533,9316,MD
Annapolis,2020_11_03,2020,General,1085,7394,3097,1359,48135,752,5052,1966,1007,37510,69.30875576,68.32566946,63.48078786,74.09860191,77.92666459,12741093,76592,166.3501802,691,7740,9185,909,7485,6915,5326,1200,6167,1923,4618,7724,475,5874,6962,638,5585,5278,4291,984,4977,1458,3619,5495,68.74095514,75.89147287,75.79749592,70.1870187,74.61589846,76.32682574,80.56702967,82,80.70374574,75.81903276,78.36725855,71.14189539,143697.1471,28997,7209,24950,5740,86.0433838,79.62269385,54.95916251,30513,46287,MD
Annapolis,2018_11_06,2018,General,1085,7394,3097,1359,48135,485,3787,1293,751,29676,44.70046083,51.21720314,41.75008072,55.26122149,61.65160486,12507559,74934,166.914338,691,7740,9185,909,7485,6915,5326,1200,6167,1923,4618,7724,343,4583,5297,500,4328,4078,3346,828,3923,1202,2946,4150,49.6382055,59.2118863,57.67011432,55.00550055,57.82231129,58.97324657,62.82388284,69,63.61277769,62.50650026,63.79385015,53.72863801,143697.1471,28997,7209,20729,4642,71.48670552,64.39173256,55.12329797,30513,35992,MD
Annapolis,2016_11_08,2016,General,1085,7394,3097,1359,48135,539,4342,1460,815,31394,49.67741935,58.72328915,47.14239587,59.97056659,65.22073335,12483684,73873,168.9884532,691,7740,9185,909,7485,6915,5326,1200,6167,1923,4618,7724,419,4954,5698,579,4507,4381,3458,892,4064,1352,3208,4502,60.63675832,64.00516796,62.03592814,63.69636964,60.21376086,63.35502531,64.92677431,74.33333333,65.89914059,70.30681227,69.46730186,58.28586225,143697.1471,28997,7209,21879,5114,75.45263303,70.9391039,52.43018071,30513,38550,MD
Annapolis,2014_11_04,2014,General,1085,7394,3097,1359,48135,291,2734,739,506,21952,26.8202765,36.97592643,23.86180174,37.23325975,45.60506908,8975349,65029,138.0207138,691,7740,9185,909,7485,6915,5326,1200,6167,1923,4618,7724,285,3335,3689,403,3034,2999,2290,678,2862,998,2356,2953,41.24457308,43.0878553,40.16330974,44.33443344,40.53440214,43.36948662,42.99662035,56.5,46.40830225,51.89807592,51.0177566,38.23148628,143697.1471,28997,7209,16005,3652,55.19536504,50.6588986,55.18163926,30513,26222,MD
Cockeysville,2020_11_03,2020,General,903,2120,658,711,10715,587,1245,384,455,8037,65.0055371,58.72641509,58.35866261,63.99437412,75.00699953,1652907,11449,144.3712988,198,1308,2483,247,1035,808,944,306,1716,1589,1305,2885,130,972,1895,179,767,634,752,206,1358,939,924,1784,65.65656566,74.31192661,76.31896899,72.46963563,74.10628019,78.46534653,79.66101695,67.32026144,79.13752914,59.09376967,70.8045977,61.83708839,126811.4149,7263,1412,5927,1037,81.60539722,73.44192635,52.90822727,16277,10708,MD
Cockeysville,2018_11_06,2018,General,903,2120,658,711,10715,337,797,253,310,6294,37.3200443,37.59433962,38.44984802,43.60056259,58.74008399,1575517,10966,143.672898,198,1308,2483,247,1035,808,944,306,1716,1589,1305,2885,97,777,1434,123,589,493,581,163,1031,630,733,1220,48.98989899,59.40366972,57.75271849,49.79757085,56.90821256,61.01485149,61.54661017,53.26797386,60.08158508,39.64757709,56.16858238,42.28769497,126811.4149,7263,1412,4820,810,66.36376153,57.36543909,53.50629828,16277,7991,MD
Cockeysville,2016_11_08,2016,General,903,2120,658,711,10715,399,1031,304,379,6962,44.18604651,48.63207547,46.2006079,53.30520394,64.97433504,1611343,10674,150.9596215,198,1308,2483,247,1035,808,944,306,1716,1589,1305,2885,114,831,1594,150,649,544,639,193,1148,776,820,1469,57.57575758,63.53211009,64.19653645,60.72874494,62.70531401,67.32673267,67.69067797,63.07189542,66.8997669,48.83574575,62.83524904,50.91854419,126811.4149,7263,1412,5306,939,73.05521135,66.50141643,50.16506998,16277,9075,MD
Cockeysville,2014_11_04,2014,General,903,2120,658,711,10715,176,449,153,174,4766,19.49058693,21.17924528,23.25227964,24.47257384,44.47970135,1404807,9637,145.772232,198,1308,2483,247,1035,808,944,306,1716,1589,1305,2885,64,573,1032,95,407,373,427,145,752,418,562,760,32.32323232,43.80733945,41.56262586,38.46153846,39.3236715,46.16336634,45.23305085,47.38562092,43.82284382,26.30585274,43.0651341,26.34315425,126811.4149,7263,1412,3669,597,50.51631557,42.28045326,53.59866769,16277,5718,MD
Timonium,2020_11_03,2020,General,1,,,,5,1,,,,5,100,,,,100,0,0,,,4,,,,,,,,,,1,,4,,,,,,,,,,1,,100,,,,,,,,,,100,108832,2,,2,,100,,62.5556993,8343,6,MD
Timonium,2018_11_06,2018,General,1,,,,5,0,,,,3,0,,,,60,0,0,,,4,,,,,,,,,,1,,2,,,,,,,,,,0,,50,,,,,,,,,,0,108832,2,,0,,0,,71.29053528,8343,3,MD
Timonium,2016_11_08,2016,General,1,,,,5,0,,,,3,0,,,,60,0,0,,,4,,,,,,,,,,1,,2,,,,,,,,,,0,,50,,,,,,,,,,0,108832,2,,0,,0,,69.29733898,8343,3,MD
Timonium,2014_11_04,2014,General,1,,,,5,0,,,,3,0,,,,60,0,0,,,4,,,,,,,,,,1,,2,,,,,,,,,,0,,50,,,,,,,,,,0,108832,2,,0,,0,,67.28497733,8343,3,MD
Westminster,2020_11_03,2020,General,564,620,1176,645,35365,397,407,769,449,26931,70.39007092,65.64516129,65.39115646,69.6124031,76.15156228,1043841,16459,63.42068169,468,7923,6045,667,2014,2216,1892,1280,2095,1907,4075,7220,332,6012,4655,522,1569,1718,1517,884,1688,1405,3106,5222,70.94017094,75.88034835,77.00578991,78.26086957,77.90466733,77.52707581,80.17970402,69.0625,80.57279236,73.67593078,76.2208589,72.32686981,119306.9537,17524,7974,14771,6486,84.29011641,81.3393529,53.00651844,84609,28953,MD
Westminster,2020_11_03,2020,General,564,620,1176,645,35365,397,407,769,449,26931,70.39007092,65.64516129,65.39115646,69.6124031,76.15156228,1043841,16459,63.42068169,468,7923,6045,667,2014,2216,1892,1280,2095,1907,4075,7220,332,6012,4655,522,1569,1718,1517,884,1688,1405,3106,5222,70.94017094,75.88034835,77.00578991,78.26086957,77.90466733,77.52707581,80.17970402,69.0625,80.57279236,73.67593078,76.2208589,72.32686981,119306.9537,17524,7974,14771,6486,84.29011641,81.3393529,53.00651844,13163,28953,MD
Westminster,2018_11_06,2018,General,564,620,1176,645,35365,233,292,472,299,19837,41.31205674,47.09677419,40.13605442,46.35658915,56.09218154,968439,15570,62.19903661,468,7923,6045,667,2014,2216,1892,1280,2095,1907,4075,7220,257,4409,3355,411,1132,1263,1121,634,1225,1051,2282,3775,54.91452991,55.64811309,55.50041356,61.6191904,56.20655412,56.99458484,59.24947146,49.53125,58.4725537,55.11274253,56,52.28531856,119306.9537,17524,7974,11414,5016,65.13353116,62.90443943,53.55376046,84609,21133,MD
Westminster,2018_11_06,2018,General,564,620,1176,645,35365,233,292,472,299,19837,41.31205674,47.09677419,40.13605442,46.35658915,56.09218154,968439,15570,62.19903661,468,7923,6045,667,2014,2216,1892,1280,2095,1907,4075,7220,257,4409,3355,411,1132,1263,1121,634,1225,1051,2282,3775,54.91452991,55.64811309,55.50041356,61.6191904,56.20655412,56.99458484,59.24947146,49.53125,58.4725537,55.11274253,56,52.28531856,119306.9537,17524,7974,11414,5016,65.13353116,62.90443943,53.55376046,13163,21133,MD
Westminster,2016_11_08,2016,General,564,620,1176,645,35365,295,329,595,367,23369,52.30496454,53.06451613,50.5952381,56.89922481,66.07945709,1025612,16054,63.88513766,468,7923,6045,667,2014,2216,1892,1280,2095,1907,4075,7220,292,5240,3896,487,1310,1461,1304,779,1410,1240,2739,4519,62.39316239,66.13656443,64.44995864,73.01349325,65.04468719,65.92960289,68.9217759,60.859375,67.30310263,65.02359727,67.21472393,62.5900277,119306.9537,17524,7974,13229,5984,75.49075554,75.04389265,50.27924555,84609,24955,MD
Westminster,2016_11_08,2016,General,564,620,1176,645,35365,295,329,595,367,23369,52.30496454,53.06451613,50.5952381,56.89922481,66.07945709,1025612,16054,63.88513766,468,7923,6045,667,2014,2216,1892,1280,2095,1907,4075,7220,292,5240,3896,487,1310,1461,1304,779,1410,1240,2739,4519,62.39316239,66.13656443,64.44995864,73.01349325,65.04468719,65.92960289,68.9217759,60.859375,67.30310263,65.02359727,67.21472393,62.5900277,119306.9537,17524,7974,13229,5984,75.49075554,75.04389265,50.27924555,13163,24955,MD
Westminster,2014_11_04,2014,General,564,620,1176,645,35365,154,158,294,215,16063,27.30496454,25.48387097,25,33.33333333,45.4206136,939852,14647,64.16686011,468,7923,6045,667,2014,2216,1892,1280,2095,1907,4075,7220,195,3458,2616,352,885,966,880,542,977,879,1922,3008,41.66666667,43.64508393,43.27543424,52.77361319,43.94240318,43.59205776,46.51162791,42.34375,46.63484487,46.09334033,47.16564417,41.66204986,119306.9537,17524,7974,9377,4311,53.50947272,54.06320542,52.33799419,84609,16884,MD
Westminster,2014_11_04,2014,General,564,620,1176,645,35365,154,158,294,215,16063,27.30496454,25.48387097,25,33.33333333,45.4206136,939852,14647,64.16686011,468,7923,6045,667,2014,2216,1892,1280,2095,1907,4075,7220,195,3458,2616,352,885,966,880,542,977,879,1922,3008,41.66666667,43.64508393,43.27543424,52.77361319,43.94240318,43.59205776,46.51162791,42.34375,46.63484487,46.09334033,47.16564417,41.66204986,119306.9537,17524,7974,9377,4311,53.50947272,54.06320542,52.33799419,13163,16884,MD
Bethesda,2020_11_03,2020,General,5586,1190,3861,4718,37699,3913,860,2744,3413,28687,70.05012531,72.26890756,71.06967107,72.33997457,76.09485663,53449312,208810,255.9710359,305,2169,3789,368,3659,6457,16325,715,13611,832,1426,2558,209,1696,2639,295,2721,4714,11964,594,10721,666,1124,1880,68.52459016,78.19271554,69.6489839,80.16304348,74.36458049,73.00603996,73.2863706,83.07692308,78.76717361,80.04807692,78.82187938,73.4949179,196034.4302,27947,2334,23853,1868,85.35084267,80.03427592,54.47245754,47565,39617,MD
Bethesda,2018_11_06,2018,General,5586,1190,3861,4718,37699,2596,565,1976,2442,22962,46.47332617,47.4789916,51.17845118,51.75922001,60.90877742,50837851,198643,255.9257109,305,2169,3789,368,3659,6457,16325,715,13611,832,1426,2558,148,1316,1878,239,2078,3580,9214,507,8359,548,934,1443,48.52459016,60.67312125,49.5645289,64.94565217,56.79147308,55.44370451,56.44104135,70.90909091,61.41356256,65.86538462,65.49789621,56.4112588,196034.4302,27947,2334,19655,1462,70.32955237,62.63924593,54.45202232,47565,30541,MD
Bethesda,2016_11_08,2016,General,5586,1190,3861,4718,37699,2814,608,2104,2624,23658,50.37593985,51.09243697,54.49365449,55.61678677,62.75498024,51587957,196568,262.4433122,305,2169,3789,368,3659,6457,16325,715,13611,832,1426,2558,174,1373,1964,255,2162,3714,9575,549,8563,590,985,1550,57.04918033,63.3010604,51.83425706,69.29347826,59.08718229,57.51897166,58.65237366,76.78321678,62.9123503,70.91346154,69.0743338,60.59421423,196034.4302,27947,2334,20638,1597,73.84692454,68.42330763,52.61037513,47565,31808,MD
Bethesda,2014_11_04,2014,General,5586,1190,3861,4718,37699,1199,292,1002,1178,14823,21.46437522,24.53781513,25.95182595,24.96820687,39.31934534,42918558,166961,257.0573847,305,2169,3789,368,3659,6457,16325,715,13611,832,1426,2558,97,860,988,162,1228,2083,5489,372,5106,397,611,890,31.80327869,39.64960811,26.07548166,44.02173913,33.56108226,32.25956326,33.62327718,52.02797203,37.51377562,47.71634615,42.84712482,34.79280688,196034.4302,27947,2334,13031,929,46.627545,39.80291345,55.88338939,47565,18494,MD
North Potomac,2020_11_03,2020,General,24,14,14,13,47,14,12,12,8,35,58.33333333,85.71428571,85.71428571,61.53846154,74.46808511,1455,31,46.93548387,,1,11,,12,42,22,2,12,1,7,2,,0,8,,8,27,17,2,11,1,5,2,,0,72.72727273,,66.66666667,64.28571429,77.27272727,100,91.66666667,100,71.42857143,100,179740.7768,52,9,41,7,78.84615385,77.77777778,50.40714366,17401,81,MD
North Potomac,2018_11_06,2018,General,24,14,14,13,47,6,7,6,7,24,25,50,42.85714286,53.84615385,51.06382979,1330,30,44.33333333,,1,11,,12,42,22,2,12,1,7,2,,1,6,,4,15,14,1,7,1,1,0,,100,54.54545455,,33.33333333,35.71428571,63.63636364,50,58.33333333,100,14.28571429,0,179740.7768,52,9,28,6,53.84615385,66.66666667,50.32136183,17401,50,MD
North Potomac,2016_11_08,2016,General,24,14,14,13,47,12,7,9,10,28,50,50,64.28571429,76.92307692,59.57446809,1330,30,44.33333333,,1,11,,12,42,22,2,12,1,7,2,,1,5,,8,24,13,1,7,0,5,2,,100,45.45454545,,66.66666667,57.14285714,59.09090909,50,58.33333333,0,71.42857143,100,179740.7768,52,9,33,5,63.46153846,55.55555556,48.3427677,17401,66,MD
North Potomac,2014_11_04,2014,General,24,14,14,13,47,3,2,2,2,15,12.5,14.28571429,14.28571429,15.38461538,31.91489362,1330,30,44.33333333,,1,11,,12,42,22,2,12,1,7,2,,1,2,,0,8,7,1,4,0,1,0,,100,18.18181818,,0,19.04761905,31.81818182,50,33.33333333,0,14.28571429,0,179740.7768,52,9,13,3,25,33.33333333,56.19713843,17401,24,MD
Potomac,2020_11_03,2020,General,7982,888,1795,3883,18465,5577,647,1359,2791,14394,69.86970684,72.86036036,75.71030641,71.87741437,77.95288383,32829154,65317,502.6127042,26,1134,1109,110,1661,3181,12425,266,11054,337,590,814,20,915,838,85,1252,2327,9080,220,8417,273,476,665,76.92307692,80.68783069,75.56357078,77.27272727,75.37627935,73.15309651,73.07847082,82.70676692,76.14438212,81.00890208,80.6779661,81.6953317,214958.0915,18942,1519,15901,1212,83.94572907,79.78933509,54.85091491,33465,24768,MD
Potomac,2018_11_06,2018,General,7982,888,1795,3883,18465,3598,467,966,1967,11458,45.07642195,52.59009009,53.81615599,50.65670873,62.05253182,31421997,62278,504.5440926,26,1134,1109,110,1661,3181,12425,266,11054,337,590,814,16,702,605,70,952,1658,6663,184,6299,240,392,528,61.53846154,61.9047619,54.55365194,63.63636364,57.31487056,52.12197422,53.62575453,69.17293233,56.98389723,71.21661721,66.44067797,64.86486486,214958.0915,18942,1519,12672,919,66.8989547,60.50032916,54.96280196,33465,18456,MD
Potomac,2016_11_08,2016,General,7982,888,1795,3883,18465,4106,495,1040,2213,12115,51.44074167,55.74324324,57.93871866,56.99201648,65.61061468,31860526,61273,519.9765965,26,1134,1109,110,1661,3181,12425,266,11054,337,590,814,17,762,640,85,971,1773,7296,195,6775,261,428,587,65.38461538,67.1957672,57.70964833,77.27272727,58.45875978,55.73718956,58.72032193,73.30827068,61.29003076,77.44807122,72.54237288,72.11302211,214958.0915,18942,1519,13743,1017,72.5530567,66.95194207,52.98015455,33465,19969,MD
Potomac,2014_11_04,2014,General,7982,888,1795,3883,18465,1529,229,499,902,7736,19.1556001,25.78828829,27.7994429,23.22946176,41.89547793,27827918,53991,515.4177178,26,1134,1109,110,1661,3181,12425,266,11054,337,590,814,11,495,329,44,529,936,3742,143,3680,189,302,401,42.30769231,43.65079365,29.6663661,40,31.84828417,29.42470921,30.1167002,53.7593985,33.29111634,56.08308605,51.18644068,49.26289926,214958.0915,18942,1519,8010,576,42.28698131,37.919684,56.55379557,33465,10895,MD
Takoma Park,2020_11_03,2020,General,512,4459,1644,497,5842,347,2987,983,324,4477,67.7734375,66.98811393,59.79318735,65.19114688,76.63471414,5461598,31153,175.3153147,227,1092,1687,176,1457,808,1010,302,856,509,2312,2279,163,794,1273,117,1067,636,792,203,702,337,1427,1494,71.8061674,72.71062271,75.45939538,66.47727273,73.23266987,78.71287129,78.41584158,67.21854305,82.00934579,66.20825147,61.72145329,65.55506801,122585.0915,5004,1494,4256,1117,85.05195843,74.76572959,51.74236032,13252,9118,MD
Takoma Park,2018_11_06,2018,General,512,4459,1644,497,5842,244,2117,659,200,3719,47.65625,47.47701278,40.08515815,40.24144869,63.65970558,5310467,31429,168.9671004,227,1092,1687,176,1457,808,1010,302,856,509,2312,2279,103,593,1008,88,860,535,649,161,595,252,974,1039,45.37444934,54.3040293,59.75103734,50,59.02539465,66.21287129,64.25742574,53.31125828,69.50934579,49.50884086,42.12802768,45.59017113,122585.0915,5004,1494,3561,855,71.16306954,57.22891566,51.20411078,13252,6939,MD
Takoma Park,2016_11_08,2016,General,512,4459,1644,497,5842,249,2265,789,230,3667,48.6328125,50.79614263,47.99270073,46.277666,62.76959945,5262375,31378,167.7090637,227,1092,1687,176,1457,808,1010,302,856,509,2312,2279,137,603,1027,95,871,509,651,181,574,260,1077,1135,60.35242291,55.21978022,60.87729698,53.97727273,59.78037062,62.9950495,64.45544554,59.93377483,67.05607477,51.0805501,46.58304498,49.80254498,122585.0915,5004,1494,3590,962,71.74260592,64.39089692,49.75437449,13252,7200,MD
Takoma Park,2014_11_04,2014,General,512,4459,1644,497,5842,118,1173,313,123,2374,23.046875,26.30634671,19.03892944,24.74849095,40.63676823,4798072,27699,173.2218492,227,1092,1687,176,1457,808,1010,302,856,509,2312,2279,68,301,587,55,530,358,418,100,390,133,526,595,29.95594714,27.56410256,34.79549496,31.25,36.37611531,44.30693069,41.38613861,33.11258278,45.56074766,26.12966601,22.75086505,26.10794208,122585.0915,5004,1494,2337,531,46.70263789,35.54216867,52.29662351,13252,4101,MD
North Bethesda,2020_11_03,2020,General,,,1,1,4,,,1,0,2,,,100,0,50,0,0,,,,3,,1,1,,,,,1,,,,3,,0,0,,,,,0,,,,100,,0,0,,,,,0,,139125.1667,2,,1,,50,,50.69782405,39494,3,MD
North Bethesda,2018_11_06,2018,General,,,1,1,4,,,0,0,3,,,0,0,75,0,0,,,,3,,1,1,,,,,1,,,,2,,0,0,,,,,1,,,,66.66666667,,0,0,,,,,100,,139125.1667,2,,2,,100,,51.07656785,39494,3,MD
North Bethesda,2016_11_08,2016,General,,,1,1,4,,,0,0,3,,,0,0,75,0,0,,,,3,,1,1,,,,,1,,,,2,,0,0,,,,,1,,,,66.66666667,,0,0,,,,,100,,139125.1667,2,,2,,100,,49.08337155,39494,3,MD
North Bethesda,2014_11_04,2014,General,,,1,1,4,,,0,0,1,,,0,0,25,0,0,,,,3,,1,1,,,,,1,,,,1,,0,0,,,,,0,,,,33.33333333,,0,0,,,,,0,,139125.1667,2,,1,,50,,70.88441241,39494,1,MD
Adelphi,2020_11_03,2020,General,373,2410,2149,222,1462,207,1646,1205,129,971,55.49597855,68.29875519,56.0725919,58.10810811,66.41586867,185546,3042,60.9947403,104,515,876,128,163,193,167,181,152,735,1438,1892,73,344,582,98,116,125,112,131,118,433,885,1111,70.19230769,66.7961165,66.43835616,76.5625,71.16564417,64.76683938,67.06586826,72.37569061,77.63157895,58.91156463,61.54381085,58.72093023,92631.54294,2256,1211,1735,866,76.90602837,71.51114781,54.4720791,12225,4158,MD
Adelphi,2018_11_06,2018,General,373,2410,2149,222,1462,111,1213,713,70,718,29.75871314,50.33195021,33.17822243,31.53153153,49.11080711,183537,3048,60.21555118,104,515,876,128,163,193,167,181,152,735,1438,1892,59,251,371,68,84,89,84,96,100,276,595,738,56.73076923,48.73786408,42.35159817,53.125,51.53374233,46.11398964,50.2994012,53.03867403,65.78947368,37.55102041,41.37691238,39.00634249,92631.54294,2256,1211,1312,630,58.15602837,52.02312139,54.09563275,12225,2825,MD
Adelphi,2016_11_08,2016,General,373,2410,2149,222,1462,168,1376,906,98,822,45.04021448,57.09543568,42.15914379,44.14414414,56.22435021,183353,3025,60.61256198,104,515,876,128,163,193,167,181,152,735,1438,1892,73,308,462,83,108,102,97,125,107,320,692,872,70.19230769,59.80582524,52.73972603,64.84375,66.25766871,52.84974093,58.08383234,69.06077348,70.39473684,43.53741497,48.12239221,46.08879493,92631.54294,2256,1211,1549,755,68.66134752,62.34516928,51.30667121,12225,3370,MD
Adelphi,2014_11_04,2014,General,373,2410,2149,222,1462,66,834,258,30,503,17.69436997,34.60580913,12.00558399,13.51351351,34.40492476,156621,2797,55.99606721,104,515,876,128,163,193,167,181,152,735,1438,1892,44,149,212,51,45,57,50,76,74,174,343,409,42.30769231,28.93203883,24.20091324,39.84375,27.60736196,29.53367876,29.94011976,41.98895028,48.68421053,23.67346939,23.85257302,21.61733615,92631.54294,2256,1211,903,402,40.02659574,33.19570603,56.86423942,12225,1691,MD
College Park,2020_11_03,2020,General,1040,2342,1677,641,7255,460,1498,924,267,3704,44.23076923,63.96242528,55.09838998,41.65366615,51.05444521,560452,7397,75.7674733,277,571,2412,149,728,287,406,179,301,348,2145,3544,174,426,1389,109,425,203,311,130,204,247,918,1999,62.81588448,74.60595447,57.58706468,73.15436242,58.37912088,70.73170732,76.60098522,72.62569832,67.77408638,70.97701149,42.7972028,56.40519187,106341.4386,3743,1203,2854,867,76.24899813,72.06982544,48.70398345,21643,6853,MD
